ReviewID,EmployeeID,ReviewPeriod,PerformanceRating,ProjectsCompleted,BonusAmount,ReviewedBy
REV0059,EMP0122,2024-H1,Needs Improvement,1,17838.33,Sara Villanueva
REV0060,EMP0194,2023-H2,Good,10,10747.45,Christopher Patterson
REV0061,EMP0086,2024-H1,Good,12,5996.17,Angela Serrano
REV0062,EMP0140,2023-H1,Excellent,12,15426.12,Catherine Cunningham
REV0063,EMP0061,2024-H1,Needs Improvement,14,7477.68,Christina Romero
REV0064,EMP0151,2023-H1,Good,2,3725.03,Nicole Baker
REV0065,EMP0098,2023-H1,Needs Improvement,5,1669.76,Maureen Holloway
REV0066,EMP0161,2024-H2,Average,13,16500.57,Christopher Brown
REV0067,EMP0107,2023-H2,Needs Improvement,1,15771.62,Heather Edwards
REV0068,EMP0066,2025-H1,Average,2,17419.26,Rodney Roach
REV0069,EMP0102,2023-H2,Average,10,15550.41,Raymond Ponce
REV0070,EMP0062,2023-H1,Good,1,481.82,Christine Hill
REV0071,EMP0118,2025-H1,Average,2,2336.81,Jon Floyd
REV0072,EMP0069,2024-H1,Excellent,5,9337.15,Karen Carney
REV0073,EMP0043,2025-H1,Excellent,9,8148.24,Jennifer Marsh
REV0074,EMP0096,2023-H1,Good,15,12910.87,William Cruz
REV0075,EMP0195,2024-H2,Excellent,4,11017.09,Nicholas Sparks
REV0076,EMP0026,2024-H1,Excellent,1,9958.33,Matthew Johnson
REV0077,EMP0058,2023-H1,Needs Improvement,5,4015.11,Elizabeth Kirby
REV0078,EMP0100,2025-H1,Good,10,10734.0,Robert Thomas
REV0079,EMP0098,2024-H1,Excellent,1,1271.26,Martin Allen
REV0080,EMP0004,2023-H1,Needs Improvement,9,9255.97,Sheri Ortiz
REV0081,EMP0044,2024-H2,Good,0,8899.95,Natalie Buck
REV0082,EMP0186,2025-H1,Needs Improvement,5,15073.34,Marcus Cameron
REV0083,EMP0092,2025-H1,Needs Improvement,10,18105.49,Jeanette Curtis
REV0084,EMP0163,2023-H1,Good,14,12552.13,Leslie Harper
REV0085,EMP0107,2023-H1,Excellent,3,4450.08,Bradley Sanders
REV0086,EMP0023,2025-H1,Average,4,14802.17,Kendra Miller
REV0087,EMP0165,2025-H1,Average,12,19214.98,Anna Taylor
REV0088,EMP0197,2023-H1,Good,4,17151.28,Amber Murphy
REV0089,EMP0089,2023-H2,Good,10,1938.8,Robert Burch
REV0090,EMP0027,2023-H2,Average,1,16850.75,Jonathan Rodriguez
REV0091,EMP0040,2023-H1,Excellent,11,11938.25,Sharon Webb
REV0092,EMP0088,2023-H1,Needs Improvement,14,17355.47,Lisa Price
REV0093,EMP0191,2024-H1,Excellent,6,5344.04,Tyler Dougherty
REV0094,EMP0008,2023-H2,Excellent,5,3604.58,Roberto Hernandez
REV0095,EMP0106,2023-H2,Needs Improvement,5,7212.53,Melissa Barnes
REV0096,EMP0063,2024-H2,Needs Improvement,8,7635.78,Christopher Scott
REV0097,EMP0034,2025-H1,Needs Improvement,4,7090.25,Carrie Yates
REV0098,EMP0025,2024-H1,Average,15,18630.51,Maria Garcia
REV0099,EMP0149,2024-H2,Needs Improvement,10,2592.61,Cynthia Ortiz
REV0100,EMP0138,2025-H1,Good,2,6308.89,Dr. Alison Ellis
